Quote,Author
"People talk about physical fitness, but mental health is equally important. I see people suffering, and their families feel a sense of shame about it, which doesn't help. One needs support and understanding. I am now working on an initiative to create awareness about anxiety and depression and help people.",Deepika Padukone
"Rare as is true love, true friendship is rarer.",Jean de La Fontaine
I'm not retiring. I am graduating. Today is my graduation day. Retirement means that you'll just go ahead and live on your laurels and surf all day in Oceanside. It ain't going to happen.,Junior Seau
"Avoid popularity; it has many snares, and no real benefit.",William Penn
"Countries with higher levels of gender equality have higher economic growth. Companies with more women on their boards have higher returns. Peace agreements that include women are more successful. Parliaments with more women take up a wider range of issues - including health, education, anti-discrimination, and child support.",Ban Ki-moon
The way we experience the world around us is a direct reflection of the world within us.,Gabrielle Bernstein
People need to be cautious because anything built by man can be destroyed by Mother Nature.,Russel Honore
My father was my teacher. But most importantly he was a great dad.,Beau Bridges
"We hold these truths to be self-evident: that all men are created equal; that they are endowed by their Creator with certain unalienable rights; that among these are life, liberty, and the pursuit of happiness.",Thomas Jefferson
"Love is the flower of life, and blossoms unexpectedly and without law, and must be plucked where it is found, and enjoyed for the brief hour of its duration.",D. H. Lawrence
"We are not here to curse the darkness, but to light the candle that can guide us thru that darkness to a safe and sane future.",John F. Kennedy
"To enjoy the glow of good health, you must exercise.",Gene Tunney
Mother is the name for God in the lips and hearts of little children.,William Makepeace Thackeray
"One of the key problems today is that politics is such a disgrace, good people don't go into government.",Donald Trump
"There can be no failure to a man who has not lost his courage, his character, his self respect, or his self-confidence. He is still a King.",Orison Swett Marden
"Technology is, of course, a double edged sword. Fire can cook our food but also burn us.",Jason Silva
"Don't worry about the pressure or the responsibility. Just live in it, have fun, and when everything seems to be going right, just stay humble and remember your family.",Roman Reigns
Prayer should be the key of the day and the lock of the night.,George Herbert
"A man who was completely innocent, offered himself as a sacrifice for the good of others, including his enemies, and became the ransom of the world. It was a perfect act.",Mahatma Gandhi
"It's one of the greatest gifts you can give yourself, to forgive. Forgive everybody.",Maya Angelou
"The choices you make each day in your diet and lifestyle have a direct influence on how your genetic predisposition is expressed - for better and for worse. You're only as old as your genes, but how your genes are expressed may be modified by exercise, diet and lifestyle choices much more than had previously been believed - and more quickly.",Dean Ornish
"Without my dad, I wouldn't be here.",Maria Sharapova
"We all have dreams. But in order to make dreams come into reality, it takes an awful lot of determination, dedication, self-discipline, and effort.",Jesse Owens
Fashion is architecture: it is a matter of proportions.,Coco Chanel
Courage is knowing what not to fear.,Plato
Happiness is not something you postpone for the future; it is something you design for the present.,Jim Rohn
"Music is a moral law. It gives soul to the universe, wings to the mind, flight to the imagination, and charm and gaiety to life and to everything.",Plato
"My mother told me to be a lady. And for her, that meant be your own person, be independent.",Ruth Bader Ginsburg
"Love begins at home, and it is not how much we do... but how much love we put in that action.",Mother Teresa
I believe that imagination is stronger than knowledge. That myth is more potent than history. That dreams are more powerful than facts. That hope always triumphs over experience. That laughter is the only cure for grief. And I believe that love is stronger than death.,Robert Fulghum
"There is a thin line that separates laughter and pain, comedy and tragedy, humor and hurt.",Erma Bombeck
"Following the light of the sun, we left the Old World.",Christopher Columbus
"When we ask for advice, we are usually looking for an accomplice.",Saul Bellow
"A muscle is like a car. If you want it to run well early in the morning, you have to warm it up.",Florence Griffith Joyner
The curious task of economics is to demonstrate to men how little they really know about what they imagine they can design.,Friedrich August von Hayek
The best way to pay for a lovely moment is to enjoy it.,Richard Bach
The function of education is to teach one to think intensively and to think critically. Intelligence plus character - that is the goal of true education.,"Martin Luther King, Jr."
There's nothing more important than our good health - that's our principal capital asset.,Arlen Specter
"I have learned that friendship isn't about who you've known the longest, it's about who came and never left your side.",Yolanda Hadid
Being considerate of others will take your children further in life than any college degree.,Marian Wright Edelman
"We all want to be famous people, and the moment we want to be something we are no longer free.",Jiddu Krishnamurti
"We came equals into this world, and equals shall we go out of it.",George Mason
Experience is simply the name we give our mistakes.,Oscar Wilde
"Climate change is the environmental challenge of this generation, and it is imperative that we act before it's too late.",John Delaney
Simply enjoy life and the great pleasures that come with it.,Karolina Kurkova
"The end of law is not to abolish or restrain, but to preserve and enlarge freedom. For in all the states of created beings capable of law, where there is no law, there is no freedom.",John Locke
The flower which is single need not envy the thorns that are numerous.,Rabindranath Tagore
No dream is too big. No challenge is too great. Nothing we want for our future is beyond our reach.,Donald Trump
Good health and good sense are two of life's greatest blessings.,Publilius Syrus
I believe that God put us in this jolly world to be happy and enjoy life.,Robert Baden-Powell
"This country, with its institutions, belongs to the people who inhabit it. Whenever they shall grow weary of the existing government, they can exercise their constitutional right of amending it, or exercise their revolutionary right to overthrow it.",Abraham Lincoln
Leadership is solving problems. The day soldiers stop bringing you their problems is the day you have stopped leading them. They have either lost confidence that you can help or concluded you do not care. Either case is a failure of leadership.,Colin Powell
There's no better feeling in the world than a warm pizza box on your lap.,Kevin James
"My family is everything. I am what I am thanks to my mother, my father, my brother, my sister... because they have given me everything. The education I have is thanks to them.",Ronaldinho
"True equality means holding everyone accountable in the same way, regardless of race, gender, faith, ethnicity - or political ideology.",Monica Crowley
Those have a short Lent who owe money to be paid at Easter.,Benjamin Franklin
To forgive is to set a prisoner free and discover that the prisoner was you.,Lewis B. Smedes
"A balanced diet and physical activity are vital to academic performance. A healthy diet has a direct link to increased cognitive function and memory skills, decreased absenteeism from school, and improved mood. These advantages can help students stay focused and complete their coursework.",Matt Cartwright
It doesn't matter who my father was; it matters who I remember he was.,Anne Sexton
"I couldn't find the sports car of my dreams, so I built it myself.",Ferdinand Porsche
The details are not the details. They make the design.,Charles Eames
"I'm not afraid of storms, for I'm learning how to sail my ship.",Louisa May Alcott
"My mission in life is not merely to survive, but to thrive; and to do so with some passion, some compassion, some humor, and some style.",Maya Angelou
Logic will get you from A to B. Imagination will take you everywhere.,Albert Einstein
The American Dream is independence and being able to create that dream for yourself.,Marsha Blackburn
"When I come home, my daughter will run to the door and give me a big hug, and everything that's happened that day just melts away.",Hugh Jackman
"You are not here merely to make a living. You are here in order to enable the world to live more amply, with greater vision, with a finer spirit of hope and achievement. You are here to enrich the world, and you impoverish yourself if you forget the errand.",Woodrow Wilson
Everywhere is within walking distance if you have the time.,Steven Wright
"If you are neutral in situations of injustice, you have chosen the side of the oppressor. If an elephant has its foot on the tail of a mouse and you say that you are neutral, the mouse will not appreciate your neutrality.",Desmond Tutu
"If you're going to do something tonight that you'll be sorry for tomorrow morning, sleep late.",Henny Youngman
"A lot of people are afraid of heights. Not me, I'm afraid of widths.",Steven Wright
The financial markets generally are unpredictable. So that one has to have different scenarios... The idea that you can actually predict what's going to happen contradicts my way of looking at the market.,George Soros
"Every day we have plenty of opportunities to get angry, stressed or offended. But what you're doing when you indulge these negative emotions is giving something outside yourself power over your happiness. You can choose to not let little things upset you.",Joel Osteen
"My family is everything. I am what I am thanks to my mother, my father, my brother, my sister... because they have given me everything. The education I have is thanks to them.",Ronaldinho
"Rest when you're weary. Refresh and renew yourself, your body, your mind, your spirit. Then get back to work.",Ralph Marston
"Friendship is always a sweet responsibility, never an opportunity.",Khalil Gibran
Never go to your high school reunion pregnant or they will think that is all you have done since you graduated.,Erma Bombeck
"In the future, everyone will be famous for 15 minutes.",Andy Warhol
"Rightful liberty is unobstructed action according to our will within limits drawn around us by the equal rights of others. I do not add 'within the limits of the law' because law is often but the tyrant's will, and always so when it violates the rights of the individual.",Thomas Jefferson
"The connection to place, to the land, the wind, the sun, stars, the moon... it sounds romantic, but it's true - the visceral experience of motion, of moving through time on some amazing machine - a few cars touch on it, but not too many compared to motorcycles. I always felt that any motorcycle journey was special.",Antoine Predock
"When we try to pick out anything by itself, we find it hitched to everything else in the universe.",John Muir
Only great minds can afford a simple style.,Stendhal
"If the freedom of speech is taken away then dumb and silent we may be led, like sheep to the slaughter.",George Washington
The love of gardening is a seed once sown that never dies.,Gertrude Jekyll
"I am grateful for all the moments that I have, and I'm moving forward one step at a time to the future.",Park Bo-gum
"Success is not a good teacher, failure makes you humble.",Shah Rukh Khan
"I have a best friend as a husband, and he is my number one supporter. He's a family man, and he's always giving back to God. That is what makes him a beautiful man. We're not perfect by any means, but that makes us beautiful as well. We're not afraid to say we're not perfect. We have our disagreements, but that comes along with marriage.",Tamera Mowry
"The story of Detroit's bankruptcy was simple enough: Allow capitalism to grow the city, campaign against income inequality, tax the job creators until they flee, increase government spending in order to boost employment, promise generous pension plans to keep people voting for failure. Rinse, wash and repeat.",Ben Shapiro
Without failure there is no achievement.,John C. Maxwell
The best way to celebrate the holidays is with some delicious food.,Rachel Hollis
My family is my strength and my weakness.,Aishwarya Rai Bachchan
Faith is to believe what you do not see; the reward of this faith is to see what you believe.,Saint Augustine
"The Bible tells us that Jesus Christ came to do three things. He came to have my past forgiven, you get a purpose for living and a home in Heaven.",Rick Warren
"There would be no need for love if perfection were possible. Love arises from our imperfection, from our being different and always in need of the forgiveness, encouragement and that missing half of ourselves that we are searching for, as the Greek myth tells us, in order to complete ourselves.",Eugene Kennedy
"Diseases happen in acidic environments, so it's very important to keep your body alkaline. Keeping a diet high in leafy greens, spring water, fresh air, raw almonds, lemons, grapefruits, and warm water with juice from half a lemon helps lower acidity levels.",Valentina Zelyaeva
I have a Father's Day every day.,Dennis Banks
"Through hard work, perseverance and a faith in God, you can live your dreams.",Ben Carson
"Eventually everything connects - people, ideas, objects. The quality of the connections is the key to quality per se.",Charles Eames
"Every animal has his or her story, his or her thoughts, daydreams, and interests. All feel joy and love, pain and fear, as we now know beyond any shadow of a doubt. All deserve that the human animal afford them the respect of being cared for with great consideration for those interests or left in peace.",Ingrid Newkirk
Change your thoughts and you change your world.,Norman Vincent Peale
"Creativity is putting your imagination to work, and it's produced the most extraordinary results in human culture.",Ken Robinson
Solitude is independence.,Hermann Hesse
"We are a country where people of all backgrounds, all nations of origin, all languages, all religions, all races, can make a home. America was built by immigrants.",Hillary Clinton
My dream is of a place and a time where America will once again be seen as the last best hope of earth.,Abraham Lincoln
Kindness and a generous spirit go a long way. And a sense of humor. It's like medicine - very healing.,Max Irons
"The worst thing about Halloween is, of course, candy corn. It's unbelievable to me. Candy corn is the only candy in the history of America that's never been advertised. And there's a reason. All of the candy corn that was ever made was made in 1911. And so, since nobody eats that stuff, every year there's a ton of it left over.",Lewis Black
"Get your facts first, then you can distort them as you please.",Mark Twain
The mind is the most important part of achieving any fitness goal. Mental change always comes before physical change.,Matt McGorry
A big part of financial freedom is having your heart and mind free from worry about the what-ifs of life.,Suze Orman
Love is when the other person's happiness is more important than your own.,"H. Jackson Brown, Jr."
Music is the movement of sound to reach the soul for the education of its virtue.,Plato
I have been very blessed in my life and rewarded with good friends and good health. I am grateful and happy to be able to share this.,Eric Idle
Remember that the most valuable antiques are dear old friends.,"H. Jackson Brown, Jr."
"At Columbia Law School, my professor of constitutional law and federal courts, Gerald Gunther, was determined to place me in a federal court clerkship, despite what was then viewed as a grave impediment: On graduation, I was the mother of a 4-year-old child.",Ruth Bader Ginsburg
"We all got older, and we'd tell our children things like, 'Mommy used to be in a famous rock band,' but they didn't believe us. Part of the reason for our reunion was to show our children what we did to make the lives they have possible.",Dolores O'Riordan
"The equal right of all citizens to health, education, work, food, security, culture, science, and wellbeing - that is, the same rights we proclaimed when we began our struggle, in addition to those which emerge from our dreams of justice and equality for all inhabitants of our world - is what I wish for all.",Fidel Castro
"No man ever steps in the same river twice, for it's not the same river and he's not the same man.",Heraclitus
Riding a bicycle is the summit of human endeavour - an almost neutral environmental effect coupled with the ability to travel substantial distances without disturbing anybody. The bike is the perfect marriage of technology and human energy.,Jeremy Corbyn
"I was given such a great gift. It's a miracle that never stops amazing me and reminding me to give thanks, every day. Having a wife and daughter gives me a lot more purpose. I was much more selfish before, but now I think about what kind of role model I'll be. I just want to be a better man.",Jake Owen
"Be strong, believe in freedom and in God, love yourself, understand your sexuality, have a sense of humor, masturbate, don't judge people by their religion, color or sexual habits, love life and your family.",Madonna Ciccone
A garden must combine the poetic and the mysterious with a feeling of serenity and joy.,Luis Barragan
Depression is the inability to construct a future.,Rollo May
"Of all the hard jobs around, one of the hardest is being a good teacher.",Maggie Gallagher
"We need to find God, and he cannot be found in noise and restlessness. God is the friend of silence. See how nature - trees, flowers, grass- grows in silence; see the stars, the moon and the sun, how they move in silence... We need silence to be able to touch souls.",Mother Teresa
"It's not tyranny we desire; it's a just, limited, federal government.",Alexander Hamilton
"If you look at great human civilizations, from the Roman Empire to the Soviet Union, you will see that most do not fail simply due to external threats but because of internal weakness, corruption, or a failure to manifest the values and ideals they espouse.",Cory Booker
A house is not a home unless it contains food and fire for the mind as well as the body.,Benjamin Franklin
Family and friendships are two of the greatest facilitators of happiness.,John C. Maxwell
"I think you need to go through some stuff to really appreciate life and understand what it means to persevere, overcome and have faith. I think those tough times make you a stronger person.",Judith Hill
"Faith in the Lord Jesus Christ is the foundation upon which sincere and meaningful repentance must be built. If we truly seek to put away sin, we must first look to Him who is the Author of our salvation.",Ezra Taft Benson
"Our lack of forgiveness makes us hate, and our lack of compassion makes us hard-hearted. Pride in our hearts makes us resentful and keeps our memory in a constant whirlwind of passion and self-pity.",Mother Angelica
"Limits, like fear, is often an illusion.",Michael Jordan
"Clouds come floating into my life, no longer to carry rain or usher storm, but to add color to my sunset sky.",Rabindranath Tagore
"Hope lies in dreams, in imagination, and in the courage of those who dare to make dreams into reality.",Jonas Salk
"Originality is independence, not rebellion; it is sincerity, not antagonism.",George Henry Lewes
I love coming back home and seeing old friends and family. I would say it keeps me grounded.,Coy Bowles
A leader is a dealer in hope.,Napoleon Bonaparte
Humor is mankind's greatest blessing.,Mark Twain
History is a cyclic poem written by time upon the memories of man.,Percy Bysshe Shelley
"Everything is funny, as long as it's happening to somebody else.",Will Rogers
"Fitness starts at home. What you eat is what you will look, just as what you sow is what you reap. Eat good food: eat fruits, vegetables, healthy grains, and don't go for sweet and trite food.",Rakul Preet Singh
Watch your finances like a hawk.,"H. Jackson Brown, Jr."
"Happiness cannot be traveled to, owned, earned, worn or consumed. Happiness is the spiritual experience of living every minute with love, grace, and gratitude.",Denis Waitley
"The goal of education is not to increase the amount of knowledge but to create the possibilities for a child to invent and discover, to create men who are capable of doing new things.",Jean Piaget
"It's so important to realize that every time you get upset, it drains your emotional energy. Losing your cool makes you tired. Getting angry a lot messes with your health.",Joyce Meyer
A friend is what the heart needs all the time.,Henry Van Dyke
Knowledge is invariably a matter of degree: you cannot put your finger upon even the simplest datum and say this we know.,T. S. Eliot
"John Muir, the famous naturalist, wrote in his journal that you should never go to Alaska as a young man because you'll never be satisfied with any other place as long as you live. And there's a lot of truth to that.",Tom Bodett
"Democracy and socialism have nothing in common but one word, equality. But notice the difference: while democracy seeks equality in liberty, socialism seeks equality in restraint and servitude.",Alexis de Tocqueville
"Science means constantly walking a tightrope between blind faith and curiosity; between expertise and creativity; between bias and openness; between experience and epiphany; between ambition and passion; and between arrogance and conviction - in short, between an old today and a new tomorrow.",Heinrich Rohrer
"If we want to address global warming, along with the other environmental problems associated with our continued rush to burn our precious fossil fuels as quickly as possible, we must learn to use our resources more wisely, kick our addiction, and quickly start turning to sources of energy that have fewer negative impacts.",David Suzuki
Do the difficult things while they are easy and do the great things while they are small. A journey of a thousand miles must begin with a single step.,Lao Tzu
Art is the daughter of freedom.,Friedrich Schiller
It will never rain roses: when we want to have more roses we must plant more trees.,George Eliot
"Fear keeps us focused on the past or worried about the future. If we can acknowledge our fear, we can realize that right now we are okay. Right now, today, we are still alive, and our bodies are working marvelously. Our eyes can still see the beautiful sky. Our ears can still hear the voices of our loved ones.",Thich Nhat Hanh
The only thing necessary for the triumph of evil is for good men to do nothing.,Edmund Burke
"Prayer does not change God, but it changes him who prays.",Soren Kierkegaard
Our Constitution was made only for a moral and religious people. It is wholly inadequate to the government of any other.,John Adams
You have to be able to accept failure to get better.,LeBron James
"Food is everything we are. It's an extension of nationalist feeling, ethnic feeling, your personal history, your province, your region, your tribe, your grandma. It's inseparable from those from the get-go.",Anthony Bourdain
"I have a best friend as a husband, and he is my number one supporter. He's a family man, and he's always giving back to God. That is what makes him a beautiful man. We're not perfect by any means, but that makes us beautiful as well. We're not afraid to say we're not perfect. We have our disagreements, but that comes along with marriage.",Tamera Mowry
Faith is the strength by which a shattered world shall emerge into the light.,Helen Keller
"I think we need to do some deep soul searching about what's important in our lives and renew our spirit and our spiritual thinking, whether it's through faith-based religion or just through loving nature or helping your fellow man.",Louie Schwartzberg
Love in the real world means saying you're sorry 10 times a day.,Kathie Lee Gifford
"Let us remember: One book, one pen, one child, and one teacher can change the world.",Malala Yousafzai
"There are no great limits to growth because there are no limits of human intelligence, imagination, and wonder.",Ronald Reagan
"A good job is more than just a paycheck. A good job fosters independence and discipline, and contributes to the health of the community. A good job is a means to provide for the health and welfare of your family, to own a home, and save for retirement.","James H. Douglas, Jr."
"I feel sorry for kids these days. They get so much homework. Remember the days when we put a belt around our two books and carried them home? Now they're dragging a suitcase. They have school all day, then homework from six until eleven. There's no time left to be creative.",Tom Petty
"No matter how dark the moment, love and hope are always possible.",George Chakiris
"My childhood, adolescence and high school days are unusually important. If there has ever been a time that I developed a uniqueness and sense of humor and the ability to organize, it was then. In those early days, I developed the skills that gave me a certain degree of success in American politics.",Lee Atwater
"I am thankful the most important key in history was invented. It's not the key to your house, your car, your boat, your safety deposit box, your bike lock or your private community. It's the key to order, sanity, and peace of mind. The key is 'Delete.'",Elayne Boosler
I have an unfortunate personality.,Orson Welles
"Number one, like yourself. Number two, you have to eat healthy. And number three, you've got to squeeze your buns. That's my formula.",Richard Simmons
"If all the economists were laid end to end, they'd never reach a conclusion.",George Bernard Shaw
Happiness lies in the joy of achievement and the thrill of creative effort.,Franklin D. Roosevelt
You have to stay in school. You have to. You have to go to college. You have to get your degree. Because that's the one thing people can't take away from you is your education. And it is worth the investment.,Michelle Obama
Happiness is nothing more than good health and a bad memory.,Albert Schweitzer
Things are never quite as scary when you've got a best friend.,Bill Watterson
"I'm not sure if they do this in the States, but in Korea, until high school, on your graduation diploma there's a line that states your future goal. Kids write 'president' or 'astronaut,' or whatever. I always wrote 'singer.'",G-Dragon
"To me, music is art and fashion is art, but fame? Fame isn't art, but the person you become when you're famous - your alter ego - that's art.",Cardi B
"Gender equality is more than a goal in itself. It is a precondition for meeting the challenge of reducing poverty, promoting sustainable development and building good governance.",Kofi Annan
Food is not just eating energy. It's an experience.,Guy Fieri
The environment is everything that isn't me.,Albert Einstein
"Luck is great, but most of life is hard work.",Iain Duncan Smith
"Perhaps one reason we are fascinated by cats is because such a small animal can contain so much independence, dignity, and freedom of spirit. Unlike the dog, the cat's personality is never bet on a human's. He demands acceptance on his own terms.",Lloyd Alexander
You can cut all the flowers but you cannot keep spring from coming.,Pablo Neruda
"Voting is our right, but it is also our responsibility because if we don't take the next step and elect leaders who are committed to building a better future for our kids, other rights - our rights to clean air, clean water, health, and prosperity - are placed directly in harm's way.",Tom Steyer
The mediocre teacher tells. The good teacher explains. The superior teacher demonstrates. The great teacher inspires.,William Arthur Ward
I believe that whatever comes at a particular time is a blessing from God.,A. R. Rahman
"Experience hath shewn, that even under the best forms of government those entrusted with power have, in time, and by slow operations, perverted it into tyranny.",Thomas Jefferson
Forgiveness is the fragrance that the violet sheds on the heel that has crushed it.,Mark Twain
"If opportunity doesn't knock, build a door.",Milton Berle
This world is but a canvas to our imagination.,Henry David Thoreau
"Bread without flesh is a good diet, as on many botanical excursions I have proved. Tea also may easily be ignored. Just bread and water and delightful toil is all I need - not unreasonably much, yet one ought to be trained and tempered to enjoy life in these brave wilds in full independence of any particular kind of nourishment.",John Muir
A house is not a home unless it contains food and fire for the mind as well as the body.,Benjamin Franklin
"Our uniqueness, our individuality, and our life experience molds us into fascinating beings. I hope we can embrace that. I pray we may all challenge ourselves to delve into the deepest resources of our hearts to cultivate an atmosphere of understanding, acceptance, tolerance, and compassion. We are all in this life together.",Linda Thompson
"A little perspective, like a little humor, goes a long way.",Allen Klein
"Our flag honors those who have fought to protect it, and is a reminder of the sacrifice of our nation's founders and heroes. As the ultimate icon of America's storied history, the Stars and Stripes represents the very best of this nation.",Joe Barton
"Age is something that doesn't matter, unless you are a cheese.",Luis Bunuel
I think fitness is important. I think a healthy lifestyle is important. I think putting positive energy out there is important and just staying connected with the people.,LL Cool J
"Money was never a big motivation for me, except as a way to keep score. The real excitement is playing the game.",Donald Trump
Family and friendships are two of the greatest facilitators of happiness.,John C. Maxwell
Education is the foundation upon which we build our future.,Christine Gregoire
True friendship is like sound health; the value of it is seldom known until it is lost.,Charles Caleb Colton
The language of friendship is not words but meanings.,Henry David Thoreau
"Mentors provide professional networks, outlets for frustration, college and career counseling, general life advice, and most importantly, an extra voice telling a student they are smart enough and capable enough to cross the stage at graduation and land their first paycheck from a career pathway job.",Gerald Chertavian
"Ibiza is a popular vacation place for a lot of the players in Spain. If you go in the summer, there are some of the world's most famous movie and music stars, so nobody cares about soccer players.",Xavi
"I have undertaken vengeance. I want Liberty and Equality to reign in Saint-Domingue. I work to bring them into existence. Unite yourselves to us, brothers, and fight with us for the same cause.",Toussaint Louverture
"By three methods we may learn wisdom: First, by reflection, which is noblest; Second, by imitation, which is easiest; and third by experience, which is the bitterest.",Confucius
We don't have to sacrifice a strong economy for a healthy environment.,Dennis Weaver
Great things are done by a series of small things brought together.,Vincent Van Gogh
"My story is a freedom song of struggle. It is about finding one's purpose, how to overcome fear and to stand up for causes bigger than one's self.",Coretta Scott King
"I don't like formal gardens. I like wild nature. It's just the wilderness instinct in me, I guess.",Walt Disney
"Yesterday's the past, tomorrow's the future, but today is a gift. That's why it's called the present.",Bil Keane
"Music is love, love is music, music is life, and I love my life. Thank you and good night.",A. J. McLean
"I may not be where I want to be, but thank God I am not where I used to be.",Joyce Meyer
"The people are the only legitimate fountain of power, and it is from them that the constitutional charter, under which the several branches of government hold their power, is derived.",James Madison
Someone is sitting in the shade today because someone planted a tree a long time ago.,Warren Buffett
"I have a good imagination. Look, I know what it feels like to have a broken heart. I know what it feels like to feel something for somebody. I'm just too weird to be in a relationship.",Diane Warren
"If the citizens of the United States are to turn away from the Communist Manifesto and preserve the purpose of the Declaration of Independence, the U.S. Constitution, and our Bill of Rights, we must first thoroughly reexamine and learn about each of them, and uphold America's founding documents by testing every political action in light of them.",Chuck Norris
"Like love, breakfast is best when made at home.",Gina Barreca
"Learn from yesterday, live for today, hope for tomorrow. The important thing is not to stop questioning.",Albert Einstein
The most wasted of all days is one without laughter.,e. e. cummings
The problem is that my generation was pacified into believing that racism existed only in our history books.,Chance The Rapper
"Roses are red, violets are blue, I'm schizophrenic, and so am I.",Oscar Levant
You can always improve your fitness if you keep training.,Pastor Maldonado
Your net worth to the world is usually determined by what remains after your bad habits are subtracted from your good ones.,Benjamin Franklin
"Happiness is a choice. You can choose to be happy. There's going to be stress in life, but it's your choice whether you let it affect you or not.",Valerie Bertinelli
"Learning is not attained by chance, it must be sought for with ardor and diligence.",Abigail Adams
Time and health are two precious assets that we don't recognize and appreciate until they have been depleted.,Denis Waitley
"It is not a lack of love, but a lack of friendship that makes unhappy marriages.",Friedrich Nietzsche
For good nurture and education implant good constitutions.,Plato
"It was that famous joke: What's the last thing the drummer said before he got kicked out of the band? 'Hey, I wrote a song.'",Dave Grohl
"The best partnerships aren't dependent on a mere common goal but on a shared path of equality, desire, and no small amount of passion.",Sarah MacLean
The essential lesson I've learned in life is to just be yourself. Treasure the magnificent being that you are and recognize first and foremost you're not here as a human being only. You're a spiritual being having a human experience.,Wayne Dyer
"We have enslaved the rest of the animal creation, and have treated our distant cousins in fur and feathers so badly that beyond doubt, if they were able to formulate a religion, they would depict the Devil in human form.",William Ralph Inge
"Some are born great, some achieve greatness, and some have greatness thrust upon them.",William Shakespeare
"Government has no other end, but the preservation of property.",John Locke
"I will love the light for it shows me the way, yet I will endure the darkness because it shows me the stars.",Og Mandino
"When you're curious, you find lots of interesting things to do.",Walt Disney
I am no bird; and no net ensnares me; I am a free human being with an independent will.,Charlotte Bronte
Nothing can bring a real sense of security into the home except true love.,Billy Graham
"Hope is like the sun, which, as we journey toward it, casts the shadow of our burden behind us.",Samuel Smiles
"If I had no sense of humor, I would long ago have committed suicide.",Mahatma Gandhi
Those who do not remember the past are condemned to repeat it.,George Santayana
Comedy is simply a funny way of being serious.,Peter Ustinov
Fitness is not an option. It's part of my job.,Alison Sweeney
There can be no rise in the value of labour without a fall of profits.,David Ricardo
Happiness held is the seed; Happiness shared is the flower.,John Harrigan
The highest result of education is tolerance.,Helen Keller
"Our greatest happiness does not depend on the condition of life in which chance has placed us, but is always the result of a good conscience, good health, occupation, and freedom in all just pursuits.",Thomas Jefferson
"Friendship is the shadow of the evening, which increases with the setting sun of life.",Jean de La Fontaine
"So in my uncertainty, I went to graduate school and there it all happened.",Ted Nelson
"Glory is fleeting, but obscurity is forever.",Napoleon Bonaparte
"Rosa Parks was the queen mother of a movement whose single act of heroism sparked the movement for freedom, justice and equality. Her greatest contribution is that she told us a regular person can make a difference.",Marc Morial
Life can only be understood backwards; but it must be lived forwards.,Soren Kierkegaard
"Water and air, the two essential fluids on which all life depends, have become global garbage cans.",Jacques Yves Cousteau
"Great achievement is usually born of great sacrifice, and is never the result of selfishness.",Napoleon Hill
A hero is someone who has given his or her life to something bigger than oneself.,Joseph Campbell
"First comes thought; then organization of that thought, into ideas and plans; then transformation of those plans into reality. The beginning, as you will observe, is in your imagination.",Napoleon Hill
Nothing is more precious than independence and liberty.,Ho Chi Minh
"Inaction breeds doubt and fear. Action breeds confidence and courage. If you want to conquer fear, do not sit home and think about it. Go out and get busy.",Dale Carnegie
"Survival was my only hope, success my only revenge.",Patricia Cornwell
"I think the sexiest thing about a woman is confidence, but confidence in a humble way, not in an arrogant way. Sense of humor is definitely important. And sunglasses always hide a multitude of sins. Sunglasses and a great pair of heels can turn most outfits around.",Victoria Beckham
It takes an endless amount of history to make even a little tradition.,Henry James
Any girl can be glamorous. All you have to do is stand still and look stupid.,Hedy Lamarr
Practice puts brains in your muscles.,Sam Snead
"Climate change joined immigration, job creation, food safety, pilot training, veterans' care, campaign finance, transportation security, labor law, mine safety, wildfire management, and scores of executive and judicial appointments on the list of matters that the world's greatest deliberative body is incapable of addressing.",George Packer
"Happiness is a butterfly, which when pursued, is always just beyond your grasp, but which, if you will sit down quietly, may alight upon you.",Nathaniel Hawthorne
Early childhood education is the key to the betterment of society.,Maria Montessori
Health is not valued till sickness comes.,Thomas Fuller
A true friend is someone who is there for you when he'd rather be anywhere else.,Len Wein
No dream is too big. No challenge is too great. Nothing we want for our future is beyond our reach.,Donald Trump
"Your work is going to fill a large part of your life, and the only way to be truly satisfied is to do what you believe is great work. And the only way to do great work is to love what you do. If you haven't found it yet, keep looking. Don't settle. As with all matters of the heart, you'll know when you find it.",Steve Jobs
We are more often frightened than hurt; and we suffer more from imagination than from reality.,Lucius Annaeus Seneca
What then is freedom? The power to live as one wishes.,Marcus Tullius Cicero
"The American Dream is one of success, home ownership, college education for one's children, and have a secure job to provide these and other goals.",Leonard Boswell
I hope I can be as good of a father to my son as my dad was to me.,Calvin Johnson
"I realize that humor isn't for everyone. It's only for people who want to have fun, enjoy life, and feel alive.",Anne Wilson Schaef
I don't fight for the money. I fight for my legacy. I fight for history. I fight for my people.,Khabib Nurmagomedov
"Laugh and the world laughs with you, snore and you sleep alone.",Anthony Burgess
"I've always believed fitness is an entry point to help you build that happier, healthier life. When your health is strong, you're capable of taking risks. You'll feel more confident to ask for the promotion. You'll have more energy to be a better mom. You'll feel more deserving of love.",Jillian Michaels
Surplus wealth is a sacred trust which its possessor is bound to administer in his lifetime for the good of the community.,Andrew Carnegie
"When we adopt a dog or any pet, we know it is going to end with us having to say goodbye, but we still do it. And we do it for a very good reason: They bring so much joy and optimism and happiness. They attack every moment of every day with that attitude.",Bruce Cameron
